representation,dataset,tokenizer,total_cases,parse_ok_cases,functional_total_cases,functional_ok_cases,python_tokens,repr_tokens,saved_tokens,saved_pct
kern,humaneval,cl100k_base,164,164,164,164,30368,8873,21495,70.78
kern,humaneval,o200k_base,164,164,164,164,30387,8940,21447,70.58
kern,humaneval,llama_tinyllama,164,164,164,164,36308,10976,25332,69.77
kern,humaneval,codegen_350m_mono,164,164,164,164,34286,11271,23015,67.13
kern,mbpp_train,cl100k_base,374,374,0,0,21202,16786,4416,20.83
kern,mbpp_train,o200k_base,374,374,0,0,21290,16966,4324,20.31
kern,mbpp_train,llama_tinyllama,374,374,0,0,28003,21124,6879,24.57
kern,mbpp_train,codegen_350m_mono,374,374,0,0,27871,21374,6497,23.31
kern,overall,cl100k_base,538,538,164,164,51570,25659,25911,50.24
kern,overall,o200k_base,538,538,164,164,51677,25906,25771,49.87
kern,overall,llama_tinyllama,538,538,164,164,64311,32100,32211,50.09
kern,overall,codegen_350m_mono,538,538,164,164,62157,32645,29512,47.48
python,humaneval,cl100k_base,164,164,164,164,30368,30368,0,0.0
python,humaneval,o200k_base,164,164,164,164,30387,30387,0,0.0
python,humaneval,llama_tinyllama,164,164,164,164,36308,36308,0,0.0
python,humaneval,codegen_350m_mono,164,164,164,164,34286,34286,0,0.0
python,mbpp_train,cl100k_base,374,374,0,0,21202,21202,0,0.0
python,mbpp_train,o200k_base,374,374,0,0,21290,21290,0,0.0
python,mbpp_train,llama_tinyllama,374,374,0,0,28003,28003,0,0.0
python,mbpp_train,codegen_350m_mono,374,374,0,0,27871,27871,0,0.0
python,overall,cl100k_base,538,538,164,164,51570,51570,0,0.0
python,overall,o200k_base,538,538,164,164,51677,51677,0,0.0
python,overall,llama_tinyllama,538,538,164,164,64311,64311,0,0.0
python,overall,codegen_350m_mono,538,538,164,164,62157,62157,0,0.0
simpy,humaneval,cl100k_base,164,156,164,156,28731,32548,-3817,-13.29
simpy,humaneval,o200k_base,164,156,164,156,28763,32902,-4139,-14.39
simpy,humaneval,llama_tinyllama,164,156,164,156,34321,39569,-5248,-15.29
simpy,humaneval,codegen_350m_mono,164,156,164,156,32387,38966,-6579,-20.31
simpy,mbpp_train,cl100k_base,374,370,0,0,20852,27340,-6488,-31.11
simpy,mbpp_train,o200k_base,374,370,0,0,20941,27950,-7009,-33.47
simpy,mbpp_train,llama_tinyllama,374,370,0,0,27529,35438,-7909,-28.73
simpy,mbpp_train,codegen_350m_mono,374,370,0,0,27392,36979,-9587,-35.0
simpy,overall,cl100k_base,538,526,164,156,49583,59888,-10305,-20.78
simpy,overall,o200k_base,538,526,164,156,49704,60852,-11148,-22.43
simpy,overall,llama_tinyllama,538,526,164,156,61850,75007,-13157,-21.27
simpy,overall,codegen_350m_mono,538,526,164,156,59779,75945,-16166,-27.04
token_sugar,humaneval,cl100k_base,164,160,164,155,28094,44723,-16629,-59.19
token_sugar,humaneval,o200k_base,164,160,164,155,28115,44924,-16809,-59.79
token_sugar,humaneval,llama_tinyllama,164,160,164,155,33612,61014,-27402,-81.52
token_sugar,humaneval,codegen_350m_mono,164,160,164,155,31723,51824,-20101,-63.36
token_sugar,mbpp_train,cl100k_base,374,368,0,0,20498,52758,-32260,-157.38
token_sugar,mbpp_train,o200k_base,374,368,0,0,20582,53166,-32584,-158.31
token_sugar,mbpp_train,llama_tinyllama,374,368,0,0,27047,78740,-51693,-191.12
token_sugar,mbpp_train,codegen_350m_mono,374,368,0,0,26935,65297,-38362,-142.42
token_sugar,overall,cl100k_base,538,528,164,155,48592,97481,-48889,-100.61
token_sugar,overall,o200k_base,538,528,164,155,48697,98090,-49393,-101.43
token_sugar,overall,llama_tinyllama,538,528,164,155,60659,139754,-79095,-130.39
token_sugar,overall,codegen_350m_mono,538,528,164,155,58658,117121,-58463,-99.67
